id;surface;marque;modele;numero;localisation;etat;libelle;gree;created_at;created_by;updated_at;updated_by;deleted_at;deleted_by
1;39244;indexing models e-enable;Money Market Account Saint Helena;Borders Grass-roots;disintermediate Mali Unbranded Concrete Soap;Cotton Tactics;array Belize Dollar;false;HDD Borders reboot;mobile Cheese;program;hack Electronics Oklahoma;Cambridgeshire navigate Licensed;Fantastic indexing
2;12748;syndicate haptic;Bedfordshire;application driver;Credit Card Account Nevada;Persistent transparent Chips;front-end Intuitive vortals;false;Savings Account Customer Granite;Money Market Account;bus;Security Virginia;solid state Clothing deposit;Maine Checking Account markets
3;73644;Configuration;District Wooden Visionary;hacking;programming;FTP;Persistent Investment Account;false;navigate;neural;Money Market Account;synergize;JSON National;interactive capacitor
4;45221;Assimilated Unions;Devolved;Avon web-readiness;frame multi-byte modular;Electronics;Bedfordshire Strategist;false;Massachusetts;Awesome Officer Bedfordshire;application scale;indigo National;Expressway;Tools Street
5;56484;Gorgeous Soft Fish Mountain;Japan Knoll;Rhode Island Computer;user-centric;Mobility;didactic Dynamic;true;auxiliary Liaison;bus withdrawal Toys;Enterprise-wide;Moldovan Leu;Checking Account;multi-byte Salad
6;65274;Re-contextualized Licensed;Producer;SAS parsing;Branding Concrete;eco-centric Senior;deposit;true;backing up;Salad;withdrawal circuit;generating frictionless solution-oriented;distributed Computers;Money Market Account users Guinea
7;43612;context-sensitive Metrics transmit;Fresh;Cambridgeshire Central;Table Avon Bedfordshire;Peru withdrawal Down-sized;invoice;false;Granite Corporate Lari;Sports Global Soft;Bedfordshire Awesome Cotton Tuna;calculating yellow;Wooden;Future
8;87389;Money Market Account Credit Card Account withdrawal;Virginia;niches drive Ireland;strategic;microchip Ergonomic Auto Loan Account;Fantastic Fresh Ball;false;International card;West Virginia Keys;Factors Soft;black Beauty;Soap;Refined Granite Sausages Savings Account extensible
9;77091;Incredible Incredible;supply-chains feed Investment Account;Centralized bypassing;Clothing Engineer Toys;granular;solid state;true;mobile;Mount Computer Uzbekistan;input invoice calculate;Philippine Peso parsing Triple-buffered;deposit Rand Namibia Dollar;Branding
10;3942;pixel;Officer New Hampshire Unions;Music;card azure Frozen;Data Shoal;Refined Granite Gloves South Georgia and the South Sandwich Islands deposit;true;one-to-one Connecticut;Unbranded Tugrik;models streamline;projection Maldives;withdrawal alarm Timor-Leste;Personal Loan Account Inverse
