id;surface;marque;modele;numero;localisation;etat;libelle;gree
1;36771;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska;true
2;64547;Chips;Villages uniform PCI;Automotive Tactics architectures;Wisconsin Facilitator Incredible;reinvent;eco-centric Bedfordshire mesh;false
3;93615;UIC-Franc Arkansas Intelligent;Zambian Kwacha intuitive;Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;false
4;50151;digital deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;implementation;Wallis and Futuna;generating;true
5;3050;Small Fresh Gloves;Brunei Darussalam interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;false
6;97585;Buckinghamshire alliance redundant;content;Gorgeous Electronics Brand;infomediaries Som Rustic Frozen Keyboard;Enterprise-wide Benin;Tuna Response invoice;true
7;73789;Jamaica Credit Card Account;Gorgeous Rubber Pants Cheese;Garden;Small;Incredible Fresh Chips;Shoes Music connect;true
8;47347;Shoes systems;Generic Frozen Tuna HTTP;implement;Optimization Cambridgeshire;payment Soap;Web;true
9;2651;New York Data North Dakota;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;Fantastic;Ergonomic Rubber Chicken;false
10;7118;functionalities quantifying;wireless;hybrid;Solomon Islands Dollar;Personal Loan Account HTTP;schemas Specialist China;false
